product_handle	thumbnail_file	image_files	replace_images
cbd-tincture-fso	cbd-tincture/products/tnc-fs-cbd-500/full/TNC_NUTE_LABEL_500mgFSOTincture_FULL_2048x2048.webp	cbd-tincture/products/tnc-fs-cbd-500/full/TNC_NUTE_LABEL_500mgFSOTincture_FULL_2048x2048.webp,cbd-tincture/products/tnc-fs-cbd-500/full/TNC_500FSOTincture_FULL_2048x2048.webp,cbd-tincture/products/tnc-fs-cbd-500/full/TNC_500MGFSO_TINCTURE_WITH_TEA_FULL_2048x2048.webp	TRUE
cbd-tincture-bso	cbd-tincture/products/tnc-bs-cbd-500/full/TNC_500BSOTincture_FULL_2048x2048.webp	cbd-tincture/products/tnc-bs-cbd-500/full/TNC_500BSOTincture_FULL_2048x2048.webp,cbd-tincture/products/tnc-bs-cbd-500/full/TNC_500mgBSOTincture_FULL_2048x2048.webp	TRUE
cbd-capsules-isolate	cbd-capsules/products/cap-iso-cbd-25-30ct/full/CAP_NUTE_LABEL_25MG_ISO_FULL_2048x2048.webp	cbd-capsules/products/cap-iso-cbd-25-30ct/full/CAP_NUTE_LABEL_25MG_ISO_FULL_2048x2048.webp,cbd-capsules/products/cap-iso-cbd-25-30ct/full/CAP_25MG_ISO_FULL_2048x2048.webp	TRUE
cbd-gummies-broad-spectrum	cbd-gummies/products/gum-bs-cbd-25-4ct/full/GUMMY_25MG_BSO_4CT_FRONT_FULL_2048x2048.png	cbd-gummies/products/gum-bs-cbd-25-4ct/full/GUMMY_25MG_BSO_4CT_FRONT_FULL_2048x2048.png,cbd-gummies/products/gum-bs-cbd-25-4ct/full/GUMMY_25MG_BSO_4CT_BACK_FULL_2048x2048.png	TRUE
cbd-gummies-broad-spectrum-melatonin	cbd-gummies/products/gum-bs-cbd-25-4ct-mel/full/GUMMY_25MG_BSOPM_4CT_FRONT_FULL_2048x2048.png	cbd-gummies/products/gum-bs-cbd-25-4ct-mel/full/GUMMY_25MG_BSOPM_4CT_FRONT_FULL_2048x2048.png,cbd-gummies/products/gum-bs-cbd-25-4ct-mel/full/GUMMY_25MG_BSOPM_4CT_BACK_FULL_2048x2048.png	TRUE
cbg-gummies	cbg-gummies/products/gum-bs-cbg-25-4ct/full/GUMMY_25MG_BSO_CBG_4CT_FRONT_FULL_2048x2048.webp	cbg-gummies/products/gum-bs-cbg-25-4ct/full/GUMMY_25MG_BSO_CBG_4CT_FRONT_FULL_2048x2048.webp,cbg-gummies/products/gum-bs-cbg-25-4ct/full/GUMMY_25MG_BSO_CBG_4CT_BACK_FULL_2048x2048.webp	TRUE
cbg-gummies-b12	cbg-gummies/products/gum-bs-cbg-25-4ct-b12/full/GUMMY_25MG_BSO_CBGB12_4CT_FRONT_FULL_2048x2048.webp	cbg-gummies/products/gum-bs-cbg-25-4ct-b12/full/GUMMY_25MG_BSO_CBGB12_4CT_FRONT_FULL_2048x2048.webp,cbg-gummies/products/gum-bs-cbg-25-4ct-b12/full/GUMMY_25MG_BSO_CBGB12_4CT_BACK_FULL_2048x2048.webp	TRUE
cbd-isolate-salve	cbd-topicals/products/sal-iso-cbd-500-1oz/full/PROLEVE_WEB_LABELS_500mg_THC_Free_ISO_salve_2048x2048.webp	cbd-topicals/products/sal-iso-cbd-500-1oz/full/PROLEVE_WEB_LABELS_500mg_THC_Free_ISO_salve_2048x2048.webp,cbd-topicals/products/sal-iso-cbd-500-1oz/full/CBDSalve500mg1oz_32ae383c-4573-4f3a-87da-f9a7e14de259_2048x2048.webp	TRUE
cbd-isolate-lotion	cbd-topicals/products/lot-iso-cbd-500-6oz/full/PROLEVE_WEB_LABELS_500mg_THC_Free_ISO_Hand_Body_Lotion_2048x2048.webp	cbd-topicals/products/lot-iso-cbd-500-6oz/full/PROLEVE_WEB_LABELS_500mg_THC_Free_ISO_Hand_Body_Lotion_2048x2048.webp,cbd-topicals/products/lot-iso-cbd-500-6oz/full/HandBodyLotion1_2048x2048.webp	TRUE
cbd-full-spectrum-salve	cbd-topicals/products/sal-fs-cbd-500-1oz/full/PROLEVE_WEB_LABELS_500mg_FSO_Salve_2048x2048.webp	cbd-topicals/products/sal-fs-cbd-500-1oz/full/PROLEVE_WEB_LABELS_500mg_FSO_Salve_2048x2048.webp,cbd-topicals/products/sal-fs-cbd-500-1oz/full/CBDFSOSalve500mg1oz_d7befeba-4279-4c0e-b2c3-0f7c791a7b52_2048x2048.webp	TRUE
cbd-cooling-roll-on-bso	cbd-topicals/products/rol-bs-cbd-2000-cool/full/PROLEVE_WEB_LABELS_2000mg_BSO_Cooling_Roll_On_2048x2048.webp	cbd-topicals/products/rol-bs-cbd-2000-cool/full/PROLEVE_WEB_LABELS_2000mg_BSO_Cooling_Roll_On_2048x2048.webp,cbd-topicals/products/rol-bs-cbd-2000-cool/full/PROLEVE-ROLLON-INFO-GRAPHICS_cooling-checks_2048x2048.webp,cbd-topicals/products/rol-bs-cbd-2000-cool/full/CBDBSOCoolingRollon2000mg3oz1_2048x2048.webp,cbd-topicals/products/rol-bs-cbd-2000-cool/full/COOLING-ROLL-ON-D_2048x2048.webp	TRUE
cbd-warming-roll-on-bso	cbd-topicals/products/rol-bs-cbd-2000-warm/full/PROLEVE_WEB_LABELS_2000mg_BSO_Warming_Roll_On_2048x2048.webp	cbd-topicals/products/rol-bs-cbd-2000-warm/full/PROLEVE_WEB_LABELS_2000mg_BSO_Warming_Roll_On_2048x2048.webp,cbd-topicals/products/rol-bs-cbd-2000-warm/full/PROLEVE-ROLLON-INFO-GRAPHICS_warming-bullets_1_2048x2048.webp,cbd-topicals/products/rol-bs-cbd-2000-warm/full/PROLEVE-ROLLON-INFO-GRAPHICS_warming-checks_1_2048x2048.webp,cbd-topicals/products/rol-bs-cbd-2000-warm/full/CBDBSOWarmingRollon2000mg3oz1_2048x2048.webp	TRUE
cbd-bath-bombs	cbd-topicals/products/bat-cbd-35-calm/full/35mgRestorativeCitrusBathBomb_1_2048x2048.webp	cbd-topicals/products/bat-cbd-35-calm/full/35mgRestorativeCitrusBathBomb_1_2048x2048.webp	TRUE
thc-gummies	thc-gummies/products/d9-gum-12-10ct/full/GUM_D9_12MG_10CT_FRONT_FULL_2048x2048.webp	thc-gummies/products/d9-gum-12-10ct/full/GUM_D9_12MG_10CT_FRONT_FULL_2048x2048.webp,thc-gummies/products/d9-gum-12-10ct/full/GUM_D9_12MG_10CT_BACK_FULL_2048x2048.webp,thc-gummies/products/d9-gum-12-10ct/full/GUM_NUTE_LABEL_D9_12MG_10CT_FULL_2048x2048.webp	TRUE
