product_handle	sku	thumbnail_file	image_files
cbd-tincture-fso	tnc-fs-cbd-500	cbd-tincture/products/tnc-fs-cbd-500/full/TNC_NUTE_LABEL_500mgFSOTincture_FULL_2048x2048.webp	cbd-tincture/products/tnc-fs-cbd-500/full/TNC_NUTE_LABEL_500mgFSOTincture_FULL_2048x2048.webp,cbd-tincture/products/tnc-fs-cbd-500/full/TNC_500FSOTincture_FULL_2048x2048.webp,cbd-tincture/products/tnc-fs-cbd-500/full/TNC_500MGFSO_TINCTURE_WITH_TEA_FULL_2048x2048.webp
cbd-tincture-fso	tnc-fs-cbd-1000	cbd-tincture/products/tnc-fs-cbd-1000/full/TNC_NUTE_LABEL_1000mgFSOTincture_FULL_2048x2048.webp	cbd-tincture/products/tnc-fs-cbd-1000/full/TNC_NUTE_LABEL_1000mgFSOTincture_FULL_2048x2048.webp,cbd-tincture/products/tnc-fs-cbd-1000/full/TNC_INGREDIENTS_1000mgFSO_FULL_2048x2048.webp,cbd-tincture/products/tnc-fs-cbd-1000/full/TNC_1000FSOTincture_FULL_2048x2048.webp,cbd-tincture/products/tnc-fs-cbd-1000/full/TNC_1000mgFSO_WITH_JUICE_FULL_2048x2048.png
cbd-tincture-fso	tnc-fs-cbd-2500	cbd-tincture/products/tnc-fs-cbd-2500/full/TNC_NUTE_LABEL_2500mgFSOTincture_FULL_2048x2048.webp	cbd-tincture/products/tnc-fs-cbd-2500/full/TNC_NUTE_LABEL_2500mgFSOTincture_FULL_2048x2048.webp,cbd-tincture/products/tnc-fs-cbd-2500/full/TNC_2500FSOTincture_FULL_2048x2048.webp
cbd-tincture-fso	tnc-fs-cbd-5000	cbd-tincture/products/tnc-fs-cbd-5000/full/TNC_NUTE_LABEL_5000mgFSOTincture_FULL_2048x2048.webp	cbd-tincture/products/tnc-fs-cbd-5000/full/TNC_NUTE_LABEL_5000mgFSOTincture_FULL_2048x2048.webp,cbd-tincture/products/tnc-fs-cbd-5000/full/TNC_5000FSOTincture_FULL_2048x2048.webp
cbd-tincture-bso	tnc-bs-cbd-500	cbd-tincture/products/tnc-bs-cbd-500/full/TNC_500BSOTincture_FULL_2048x2048.webp	cbd-tincture/products/tnc-bs-cbd-500/full/TNC_500BSOTincture_FULL_2048x2048.webp,cbd-tincture/products/tnc-bs-cbd-500/full/TNC_500mgBSOTincture_FULL_2048x2048.webp
cbd-tincture-bso	tnc-bs-cbd-1000	cbd-tincture/products/tnc-bs-cbd-1000/full/TNC_NUTE_LABEL_1000mgBSOTincture_2048x2048.webp	cbd-tincture/products/tnc-bs-cbd-1000/full/TNC_NUTE_LABEL_1000mgBSOTincture_2048x2048.webp,cbd-tincture/products/tnc-bs-cbd-1000/full/TNC_1000BSOTincture_FULL_2048x2048.webp
cbd-tincture-bso	tnc-bs-cbd-2500	cbd-tincture/products/tnc-bs-cbd-2500/full/TNC_NUTE_LABEL_2500mgBSOTincture_FULL_2048x2048.webp	cbd-tincture/products/tnc-bs-cbd-2500/full/TNC_NUTE_LABEL_2500mgBSOTincture_FULL_2048x2048.webp,cbd-tincture/products/tnc-bs-cbd-2500/full/TNC_2500BSOTincture_FULL_2048x2048.webp
cbd-tincture-bso	tnc-bs-cbd-5000	cbd-tincture/products/tnc-bs-cbd-5000/full/TNC_NUTE_LABEL_5000mgBSOTincture_FULL_2048x2048.webp	cbd-tincture/products/tnc-bs-cbd-5000/full/TNC_NUTE_LABEL_5000mgBSOTincture_FULL_2048x2048.webp,cbd-tincture/products/tnc-bs-cbd-5000/full/TNC_5000BSOTincture_FULL_2048x2048.webp
cbd-capsules-isolate	cap-iso-cbd-25-30ct	cbd-capsules/products/cap-iso-cbd-25-30ct/full/CAP_NUTE_LABEL_25MG_ISO_FULL_2048x2048.webp	cbd-capsules/products/cap-iso-cbd-25-30ct/full/CAP_NUTE_LABEL_25MG_ISO_FULL_2048x2048.webp,cbd-capsules/products/cap-iso-cbd-25-30ct/full/CAP_25MG_ISO_FULL_2048x2048.webp
cbd-capsules-isolate	cap-iso-cbd-50-30ct	cbd-capsules/products/cap-iso-cbd-50-30ct/full/CAP_NUTE_LABEL_50MG_ISO_FULL_2048x2048.webp	cbd-capsules/products/cap-iso-cbd-50-30ct/full/CAP_NUTE_LABEL_50MG_ISO_FULL_2048x2048.webp,cbd-capsules/products/cap-iso-cbd-50-30ct/full/CAP_50MG_ISO_FULL_2048x2048.webp
